id,title
1033,The Seventh Day
1034,Shanghaied
1035,She Would Be an Actress
1036,Sherlock Holmes IV
1037,Sherlock Holmes V
1038,Sherlock Holmes VI
1039,A Sinner's Repentance
1040,A Sister's Love: A Tale of the Franco-Prussian War
1041,The Slave
1042,The Sleepwalker
1043,Smith's Knockabout Theatre
1044,The Son's Return
1045,A Midsummer Night's Dream
1046,A Sound Sleeper
1047,The Spanish Girl
1048,The Special License
1049,Gøngehøvdingen
1050,A Strange Meeting
1051,El sueño milagroso
1052,The Suicide Club
1053,A Sweet Revenge
1054,Sweet and Twenty
1055,A Tale of the West
1056,Teaching a Husband a Lesson
1057,Ten Nights in a Barroom
1058,Tender Hearts
1059,O Terremoto de Benavente
1060,The Test
1061,They Would Elope
1062,Those Awful Hats
1063,Those Boys!
1064,Through the Breakers
1065,Tis an Ill Wind That Blows No Good
1066,De to guldgravere
1067,To Save Her Soul
1068,Toma caseta Z
